"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 21 23:58:38 NOVT 2020","Sat Nov 21 23:58:40 NOVT 2020","1569","test","test_add_address_group","","","","test_address_group[None:name+es;headerc aH!,/{#9rm K U;footerVtyB 8 oai]",""
"passed","Sun Nov 22 00:33:07 NOVT 2020","Sun Nov 22 00:33:09 NOVT 2020","1698","test","test_del_user","","","","test_del_user",""
"passed","Sun Nov 22 00:40:58 NOVT 2020","Sun Nov 22 00:41:02 NOVT 2020","3399","test","test_edit_user","","","","test_edit_user",""
"broken","Sun Nov 22 00:35:53 NOVT 2020","Sun Nov 22 00:35:54 NOVT 2020","1477","test","test_del_user_from_group","","","","test_del_user_of_group",""
"passed","Sat Nov 21 23:58:40 NOVT 2020","Sat Nov 21 23:58:41 NOVT 2020","1460","test","test_add_address_group","","","","test_address_group[None:name/3c q;headerF4B<A| j=vnI Ye;footerq*q)]",""
"passed","Sun Nov 22 00:06:43 NOVT 2020","Sun Nov 22 00:06:47 NOVT 2020","3862","test","test_add_user","","","","test_add_user[None: firstname8fD1j;middlenamevCUOJBG;lastnameS7T  QHeWY9L;company H  M 82Jw65;addressvyhBGbB;home6 5887546 ;mobile 65253 68;work9115235 09125;phone2 016 4 1 04687  ;emailgfaOlO fX]",""
"passed","Sat Nov 21 23:58:43 NOVT 2020","Sat Nov 21 23:58:44 NOVT 2020","1360","test","test_add_address_group","","","","test_address_group[None:namedX>cc;header!*|: Yk2Nnlv p b_;footerXuN]",""
"passed","Sat Nov 21 23:58:41 NOVT 2020","Sat Nov 21 23:58:43 NOVT 2020","1376","test","test_add_address_group","","","","test_address_group[None:name,)7E;headerH-;footerZ> b 28m}]",""
"passed","Sun Nov 22 00:17:02 NOVT 2020","Sun Nov 22 00:17:04 NOVT 2020","1885","test","test_add_user_in_group","","","","test_add_user_in_group",""
"passed","Sun Nov 22 00:06:48 NOVT 2020","Sun Nov 22 00:06:51 NOVT 2020","3789","test","test_add_user","","","","test_add_user[None: firstnameM;middlenameu4m0;lastnameg2B03m QS8tb N;companyRHNxpFbllcq  U;addressIt Eoueh baJRIaKX A1NQb NNGZ;home  ;mobile796 05;work912 575  ;phone28 96;emailpReQ Vhuy3qu4O0 yHk]",""
"passed","Sun Nov 22 00:38:09 NOVT 2020","Sun Nov 22 00:38:11 NOVT 2020","1493","test","test_edit_group","","","","test_edit_group",""
"passed","Sat Nov 21 23:58:34 NOVT 2020","Sat Nov 21 23:58:36 NOVT 2020","1857","test","test_add_address_group","","","","test_address_group[None:;;]",""
"passed","Sat Nov 21 23:58:36 NOVT 2020","Sat Nov 21 23:58:38 NOVT 2020","1445","test","test_add_address_group","","","","test_address_group[None:name1~;AL3*Q;header9TJ#) H#wm.A 9Rjf;footerpUl HD]",""
"passed","Sun Nov 22 00:27:50 NOVT 2020","Sun Nov 22 00:27:51 NOVT 2020","1051","test","test_del_group","","","","test_some_group",""
